abk	Abkhaz
max	North Moluccan Malay
mdf	Moksha
mfa	Kelantan-Pattani Malay
mfe	Morisyen
mgm	Mambae
mhr	Meadow Mari
mic	Mi
mik	Hitchiti
min	Minangkabau
mkd	Macedonian
mlg	Malagasy
mlt	Maltese
mnc	Manchu
mni	Meitei
mnr	Mono (USA)
mnw	Mon
moh	Mohawk
mon	Mongolian
mri	Maori
mrj	Hill Mari
mus	Muskogee (Creek)
mvv	Tagal Murut
mwl	Mirandese
mww	Hmong Daw (White)
mya	Burmese
myv	Erzya
nah	Nahuatl
nan	Min Nan Chinese
nap	Neapolitan
nau	Nauruan
nav	Navajo
nch	Central Huasteca Nahuatl
nds	Low German (Low Saxon)
new	Newari
ngt	Ngeq 
ngu	Guerrero Nahuatl
niu	Niuean
nld	Dutch
nlv	Orizaba Nahuatl
nnb	Nande
nno	Norwegian Nynorsk
nob	Norwegian Bokmål
nog	Nogai
non	Old Norse
nov	Novial
npi	Nepali
nst	Naga (Tangshang)
nus	Nuer
nya	Chinyanja
nys	Nyungar
oar	Old Aramaic
oci	Occitan
ofs	Old Frisian
oji	Ojibwe
ood	O
ori	Odia (Oriya)
orv	Old East Slavic
osp	Old Spanish
oss	Ossetian
osx	Old Saxon
ota	Ottoman Turkish
otk	Old Turkish
pag	Pangasinan
pal	Middle Persian (Pahlavi)
pam	Kapampangan
pan	Punjabi (Eastern)
pap	Papiamento
pau	Palauan
pcd	Picard
pdc	Pennsylvania German
pes	Persian
pfl	Palatine German
phn	Phoenician
pli	Pali
pms	Piedmontese
pnb	Punjabi (Western)
pol	Polish
por	Portuguese
ppl	Pipil
prg	Old Prussian
pus	Pashto
quc	K
que	Quechua
qxq	Qashqai
qya	Quenya
rap	Rapa Nui
rel	Rendille
rhg	Rohingya
rif	Tarifit
roh	Romansh
rom	Romani
ron	Romanian
rue	Rusyn
run	Kirundi
rus	Russian
ryu	Okinawan
sag	Sango
sah	Yakut
san	Sanskrit
sat	Santali
scn	Sicilian
sco	Scots
sdh	Southern Kurdish
sgs	Samogitian
shi	Tashelhit
shs	Shuswap
shy	Tachawit
sin	Sinhala
sjn	Sindarin
skr	Saraiki
slk	Slovak
slv	Slovenian
sma	Southern Sami
sme	Northern Sami
smo	Samoan
sna	Shona
snd	Sindhi
som	Somali
sot	Southern Sotho
spa	Spanish
sqi	Albanian
srd	Sardinian
srn	Sranan Tongo
srp	Serbian
ssw	Swazi
stq	Saterland Frisian
sun	Sundanese
sux	Sumerian
swc	Congo Swahili
swe	Swedish
swg	Swabian
swh	Swahili
syc	Syriac
syl	Sylheti
szl	Silesian
tah	Tahitian
tam	Tamil
tat	Tatar
tel	Telugu
tet	Tetun
tgk	Tajik
tgl	Tagalog
tha	Thai
thv	Tahaggart Tamahaq
tig	Tigre
tir	Tigrinya
tkl	Tokelauan
tlh	Klingon
tly	Talysh
tmr	Jewish Babylonian Aramaic
tmw	Temuan
toi	Tonga (Zambezi)
tok	Toki Pona
ton	Tongan
tpi	Tok Pisin
tpn	Tupinambá
tsn	Setswana
tso	Tsonga
tts	Isan
tuk	Turkmen
tum	Tumbuka
tur	Turkish
tvl	Tuvaluan
tyv	Tuvinian
tzl	Talossan
udm	Udmurt
uig	Uyghur
ukr	Ukrainian
umb	Umbundu
urd	Urdu
urh	Urhobo
uzb	Uzbek
vec	Venetian
vep	Veps
vie	Vietnamese
vol	Volapük
vro	Võro
war	Waray
wln	Walloon
wol	Wolof
wuu	Shanghainese
xal	Kalmyk
xho	Xhosa
xmf	Mingrelian
xqa	Karakhanid
yid	Yiddish
yor	Yoruba
yua	Yucatec Maya
yue	Cantonese
zea	Zeelandic
zgh	Standard Moroccan Tamazight
zlm	Malay (Vernacular)
zsm	Malay
zul	Zulu
zza	Zaza
